delivery_date,hour_ending,repeated_hour_flag,settlement_point,settlement_point_price
1/1/2026,19:00,N,LZ_WEST,30.81
1/1/2026,20:00,N,HB_BUSAVG,20.74
1/1/2026,20:00,N,HB_HOUSTON,20.28
1/1/2026,20:00,N,HB_HUBAVG,20.7
1/1/2026,20:00,N,HB_NORTH,21.02
1/1/2026,20:00,N,HB_PAN,12.6
1/1/2026,20:00,N,HB_SOUTH,19.95
1/1/2026,20:00,N,HB_WEST,21.57
1/1/2026,20:00,N,LZ_AEN,20.58
1/1/2026,20:00,N,LZ_CPS,20.39
1/1/2026,20:00,N,LZ_HOUSTON,20.25
1/1/2026,20:00,N,LZ_LCRA,20.38
1/1/2026,20:00,N,LZ_NORTH,20.54
1/1/2026,20:00,N,LZ_RAYBN,21.44
1/1/2026,20:00,N,LZ_SOUTH,20.4
1/1/2026,20:00,N,LZ_WEST,26.54
1/1/2026,21:00,N,HB_BUSAVG,17.02
1/1/2026,21:00,N,HB_HOUSTON,16.73
1/1/2026,21:00,N,HB_HUBAVG,16.68
1/1/2026,21:00,N,HB_NORTH,17.73
1/1/2026,21:00,N,HB_PAN,7.4
1/1/2026,21:00,N,HB_SOUTH,15.88
1/1/2026,21:00,N,HB_WEST,16.38
1/1/2026,21:00,N,LZ_AEN,16.08
1/1/2026,21:00,N,LZ_CPS,16.14
1/1/2026,21:00,N,LZ_HOUSTON,16.71
1/1/2026,21:00,N,LZ_LCRA,16.1
1/1/2026,21:00,N,LZ_NORTH,16.57
1/1/2026,21:00,N,LZ_RAYBN,18.72
1/1/2026,21:00,N,LZ_SOUTH,16.29
1/1/2026,21:00,N,LZ_WEST,24.07
1/1/2026,22:00,N,HB_BUSAVG,14.48
1/1/2026,22:00,N,HB_HOUSTON,14.28
1/1/2026,22:00,N,HB_HUBAVG,13.71
1/1/2026,22:00,N,HB_NORTH,15.89
1/1/2026,22:00,N,HB_PAN,3.57
1/1/2026,22:00,N,HB_SOUTH,12.63
1/1/2026,22:00,N,HB_WEST,12.04
1/1/2026,22:00,N,LZ_AEN,13.25
1/1/2026,22:00,N,LZ_CPS,13.24
1/1/2026,22:00,N,LZ_HOUSTON,14.24
1/1/2026,22:00,N,LZ_LCRA,13.23
1/1/2026,22:00,N,LZ_NORTH,14.12
1/1/2026,22:00,N,LZ_RAYBN,17.41
1/1/2026,22:00,N,LZ_SOUTH,13.53
1/1/2026,22:00,N,LZ_WEST,20.86
1/1/2026,23:00,N,HB_BUSAVG,16.35
1/1/2026,23:00,N,HB_HOUSTON,15.78
1/1/2026,23:00,N,HB_HUBAVG,15.21
1/1/2026,23:00,N,HB_NORTH,18.33
1/1/2026,23:00,N,HB_PAN,3.32
1/1/2026,23:00,N,HB_SOUTH,14.1
1/1/2026,23:00,N,HB_WEST,12.63
1/1/2026,23:00,N,LZ_AEN,14.79
1/1/2026,23:00,N,LZ_CPS,14.76
1/1/2026,23:00,N,LZ_HOUSTON,15.72
1/1/2026,23:00,N,LZ_LCRA,14.74
1/1/2026,23:00,N,LZ_NORTH,16.23
1/1/2026,23:00,N,LZ_RAYBN,20.24
1/1/2026,23:00,N,LZ_SOUTH,14.89
1/1/2026,23:00,N,LZ_WEST,21.48
1/1/2026,24:00:00,N,HB_BUSAVG,14.22
1/1/2026,24:00:00,N,HB_HOUSTON,13.83
1/1/2026,24:00:00,N,HB_HUBAVG,12.9
1/1/2026,24:00:00,N,HB_NORTH,16.53
1/1/2026,24:00:00,N,HB_PAN,1.07
1/1/2026,24:00:00,N,HB_SOUTH,11.5
1/1/2026,24:00:00,N,HB_WEST,9.73
1/1/2026,24:00:00,N,LZ_AEN,12.6
1/1/2026,24:00:00,N,LZ_CPS,12.54
1/1/2026,24:00:00,N,LZ_HOUSTON,13.75
1/1/2026,24:00:00,N,LZ_LCRA,12.54
1/1/2026,24:00:00,N,LZ_NORTH,14.31
1/1/2026,24:00:00,N,LZ_RAYBN,18.62
1/1/2026,24:00:00,N,LZ_SOUTH,11.34
1/1/2026,24:00:00,N,LZ_WEST,18.58
1/2/2026,1:00,N,HB_BUSAVG,16.1
1/2/2026,1:00,N,HB_HOUSTON,15.77
1/2/2026,1:00,N,HB_HUBAVG,14.8
1/2/2026,1:00,N,HB_NORTH,18.39
1/2/2026,1:00,N,HB_PAN,3.23
